DATE,TIME,STATION,PORT,MODEL,,,,,,,,
Wed Sep 5 2018,13:15:58,B,2,Test script 1,,,,,,,,
STATUS,TIME,V0,I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
00002,00058,04852,00588,00588,00587,00588,00587,00587,00588,00588,00588,00586
00002,00059,04852,00588,00587,00588,00587,00588,00586,00587,00586,00588,00587
00002,00060,04852,00587,00588,00587,00588,00588,00587,00588,00587,00586,00588
00002,00061,04852,00587,00587,00588,00588,00587,00587,00586,00587,00587,00587
00002,00062,04852,00587,00586,00587,00588,00587,00588,00588,00588,00587,00588
00002,00063,04852,00588,00588,00587,00587,00588,00588,00586,00586,00588,00587
00002,00064,04848,00587,00586,00587,00588,00587,00586,00587,00587,00586,00588
00002,00065,04852,00587,00586,00587,00587,00588,00586,00587,00587,00587,00588
00002,00066,04852,00586,00588,00588,00587,00588,00588,00589,00587,00587,00588
00002,00067,04852,00586,00588,00588,00588,00588,00588,00588,00587,00588,00587
00002,00068,04852,00588,00588,00587,00588,00588,00587,00586,00587,00587,00588
00002,00069,04848,00587,00587,00586,00588,00587,00586,00586,00586,00588,00587
00003,00070,04852,00588,00588,00588,00588,00588,00588,00587,00588,00588,00588
00003,00071,04852,00587,00588,00587,00588,00588,00588,00588,00587,00586,00587
00003,00072,04852,00587,00588,00588,00588,00587,00587,00588,00588,00588,00588
00003,00073,04852,00588,00588,00588,00588,00586,00587,00586,00587,00587,00586
00003,00074,04852,00587,00586,00588,00587,00588,00587,00587,00586,00588,00586
00003,00075,04852,00588,00588,00589,00587,00587,00587,00588,00586,00587,00587
00003,00076,04848,00586,00589,00586,00590,00587,00587,00586,00587,00586,00588
00003,00077,04848,00587,00586,00588,00588,00587,00588,00589,00587,00588,00587
00003,00078,04852,00587,00588,00587,00587,00587,00587,00587,00588,00588,00588
00003,00079,04852,00588,00587,00586,00587,00586,00586,00588,00588,00588,00588
00003,00080,04852,00587,00586,00586,00586,00587,00586,00588,00586,00587,00586
00003,00081,04852,00587,00587,00589,00588,00587,00587,00588,00587,00587,00588
00003,00082,04852,00587,00587,00590,00586,00587,00588,00587,00588,00588,00588
00003,00083,04852,00588,00587,00586,00587,00587,00588,00587,00587,00587,00587
00003,00084,04852,00586,00588,00588,00587,00586,00588,00587,00588,00588,00589
00003,00085,04852,00588,00587,00586,00589,00587,00590,00587,00588,00588,00587
00003,00086,04848,00586,00588,00588,00588,00587,00587,00586,00587,00588,00586
00003,00087,04852,00587,00587,00587,00587,00588,00587,00588,00586,00588,00588
00003,00088,04852,00588,00586,00587,00588,00586,00586,00588,00586,00588,00587
00003,00089,04852,00587,00586,00587,00588,00587,00587,00588,00588,00588,00588
00003,00090,04852,00588,00586,00588,00587,00588,00587,00587,00588,00586,00588
00003,00091,04852,00587,00587,00588,00587,00587,00587,00588,00587,00587,00586
00003,00092,04852,00588,00587,00587,00587,00586,00588,00588,00588,00586,00587
00003,00093,04848,00587,00587,00588,00589,00587,00586,00586,00588,00588,00588
00003,00094,04852,00588,00588,00588,00586,00587,00588,00586,00588,00588,00587
00003,00095,04852,00587,00587,00587,00586,00588,00588,00588,00587,00588,00588
00003,00096,04848,00587,00588,00588,00589,00589,00588,00587,00588,00586,00588
00003,00097,04852,00588,00587,00588,00587,00586,00587,00588,00588,00588,00588
00003,00098,04852,00588,00586,00587,00588,00588,00588,00586,00587,00587,00587
00003,00099,04848,00588,00588,00586,00587,00587,00587,00588,00588,00588,00587
00003,00100,04852,00586,00588,00588,00586,00586,00587,00587,00587,00587,00588
00003,00101,04848,00586,00586,00588,00587,00587,00586,00588,00586,00586,00587
00003,00102,04852,00589,00588,00586,00586,00587,00587,00587,00587,00588,00588
00003,00103,04848,00587,00587,00588,00587,00588,00588,00587,00587,00588,00587
00003,00104,04852,00587,00588,00588,00586,00586,00588,00587,00588,00588,00586
00003,00105,04852,00588,00588,00587,00587,00588,00587,00587,00587,00587,00588
00003,00106,04848,00586,00586,00587,00586,00587,00587,00587,00588,00588,00588
00003,00107,04852,00585,00587,00586,00587,00588,00587,00587,00588,00587,00587
00003,00108,04852,00586,00588,00587,00587,00586,00588,00587,00587,00586,00587
00003,00109,04848,00585,00587,00586,00588,00589,00587,00587,00586,00588,00587
00003,00110,04852,00586,00588,00586,00587,00588,00585,00588,00586,00587,00586
00003,00111,04852,00586,00586,00586,00588,00489,00490,00491,00490,00491,00489
00003,00112,04900,00490,00490,00489,00491,00490,00270,00266,00265,00490,00491
00003,00113,04900,00490,00491,00491,00410,00310,00415,00343,00268,00491,00458
00003,00114,05020,00267,00361,00330,00320,00279,00281,00457,00402,00403,00405
00003,00115,04948,00405,00402,00401,00374,00357,00367,00458,00457,00374,00347
00003,00116,04964,00365,00458,00458,00458,00458,00441,00369,00376,00458,00484
00003,00117,04988,00324,00459,00459,00458,00459,00458,00457,00457,00456,00458
00003,00118,04920,00458,00457,00440,00436,00654,00650,00645,00587,00587,00586
00001,00119,04852,00587,00588,00588,00586,00587,00587,00587,00557,00000,00000
00001,00120,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
00001,00121,04300,00000,00000,00000,00010,00000,00000,00000,00000,00000,00000
00001,00122,04464,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
00001,00123,04612,00000,00000,00000,00000,00000,00000,00000,00000,00000,00000
00001,00124,00000,00000,00000,00000,00000,00000,00000,00000,00661,00651,00654
